iteration,phase1_ms,create_ms,create_fee,finish_ms,finish_fee,memo_valid,vc_cid,escrow_hash
29,3407,6889,12,5616,423,true,bafkreibqtzjuyoidphgjdtgwqzhlf4fbociddqhkw6y52pddwfrnbjid2a,E039F431FF476215CD3C2FCCF0014B1CAAB81DA6F10D2C6B396F6152081BB6A1
30,3532,5612,12,5616,423,true,bafkreieb65d4qg53rpv64s6ipi2owjq5n46243q3ttyhwa6oas22dn3oeu,ACEFF8F3A28012F395FE6E0034A01D82E900C69472D0DBCEE9DDBDB1DC95F43B
31,2847,3041,12,6884,423,true,bafkreiaaldieqhkawpm5nwmeodtnm4wfxtolvff33yytrv2p4z36jv2pjy,D7FAC9779A23B07E869937E4308B045DE5F87947DEE078A63E3678F361BCA6CB
32,2824,5614,12,6916,423,true,bafkreiarfyu653gijela2flovi22s3hpxvtz45lnm37itajrcnfnyvhk7i,3DFCC59B21C818B2BCFF432E87B5D2606B319F7731B1889D568507B411E0C1EB
33,3748,5613,12,5625,423,true,bafkreidgpn2pscnaj2hosad6lrxrnx7lttpdn2umthgclixvshgargqtau,CDA86C26FC52EC63728A15DC950089391DCA8D5D70A7103BB3866DEB2C55420C
34,2813,5599,12,6888,423,true,bafkreidr44ptqillj4oc4ocyity4busjmmjvwtfybq2crsscsukl47n6we,6A30B0419F889BD6C7A74AED7806E7BBDF7794BBC4201F204A5FC933172EB09E
35,3040,8189,12,5715,423,true,bafkreigu5nl5laxagdoybo7ehz5wtm3zqjmgv2slncflspe57g4wyf43au,17427DFE0B47DCFEA35A2DABC431CC41ED3208D7D7DD666C794C374E61F71597
36,3304,5621,12,6906,423,true,bafkreib3tr77eluxvl255rquoljace762e526uhkjoitde52uphoyzio4a,884716B93EB9A1567E7B7D3470060B86A3CAD476F4BDAA7DE2C6489DD38DF702
37,2763,6920,12,6898,423,true,bafkreih553yibebecqhzx7swm36cahtopemv6yap6s4ob7rkfpxim75s4a,2EF9B78A7F2F960E4AFB7452A84E0E4296F68BBB4922E64EA861A4A23675DACE
38,3388,5827,12,6886,423,true,bafkreicmsus4krgd4ax6rhqno3pva2sr2joul5i4e5pvwkbzqaraxtq4gu,57B2BC98191F81D55E02C3E579C3631581B235E39BF05C9DC2B1A7B30926DB34
