iteration,success,usedDoi,eventDetected,crossrefApiMs,vcVerifyMs,oracleVerifyMs,policyVerifyMs,precheckMs,createMs,createFeeDrops,finishMs,finishFeeDrops,chainOnlyMs,totalFeeDrops,totalMs,errorMessage
oracleVerify,0.4094429999999999,0.7308670711223758,0.1585,7.1688
policyVerify,0.03385200000000001,0.10062237671611618,0.0065,0.9891
precheck,0.8836889999999997,0.9739175091243609,0.3576,7.6488
create,5794.55,469.8269974150061,5447,6963
finish,5850.45,1079.4072111580506,2964,8160
chainOnly,11645,1222.4996523516888,8466,13909
total,23249.67,1923.1263143901913,18850,27144
createFeeDrops,12,0,12,12
finishFeeDrops,423,0,423,423
totalFeeDrops,435,0,435,435
