iteration,mode,create_ms,create_fee_drops,cancel_ms,cancel_fee_drops,create_hash,cancel_hash
30,cancel,6895,12,4330,12,D0EAA356C888FF47B3F60D2050993640E91EEBBA201C8BBB1E3AD813EBBF5878,A46FEABB6EE7B5B700CD2A5BB2D2B7C3D3C78BB51440EB3AFDEBC418C65460AE
31,cancel,5702,12,4355,12,9D4DF4A37146F8C44E21923A5830C64CAED0675AD3B463C181299D5DC21C9C2D,AB7E2E4B6E100BB832A660E56512FFD53BAF6158A7306E36986E8AE5984E984F
32,cancel,3053,12,4351,12,AB97D95C7764732438A584829BFFDAD4831E7F5B8C23EF8931BB9584A07B31DA,535405753F739E8D4B433E75F3D46EA3AF01AEA6BEB67ED4B5C3DDCEBDCC1296
33,cancel,6925,12,4302,12,06CF58E8D51AC42AC7468FAD19CC3C1FC71C6FEB192CCFA4E0842DD6AB7F9736,AFC51D42E823372B4A86D14642F3969B14C7E714AF2CB2A024E3DC7916136F69
34,cancel,5628,12,5638,12,DACF112DAD07913C280674B0943FEF5869A8FAC95E40990D757E60CC7FB9D796,84D21E91972B9236C7A3CAC482733E4DE904DEEDDE0C7667EA133BB5C534A2FF
35,cancel,6913,12,5599,12,2D5EE6959BE34964280C4A101F4F7D4F82B7E2CE58890AB77CABE775F8608800,2F1BF0879EFC40B3FFE829B2AB4FB73D03A5B769BCC7684B95C88B4863FEBE9B
36,cancel,6940,12,5651,12,505DA935C92513672A06357469E5B7EB6EA58D7A204BD529E47B13F3E4E2D6A9,11F89E6FBEB88D6DDB19A6D3161F5931C1E8A6227A2482EB7FDA28EC52AE1BC2
37,cancel,6206,12,6443,12,9D837199E1CDCBF9C5ED3AAA0707B1097B94E67B7661A8D9A17B675FA34B72D7,3BFD936E03E05DAD0A75FD601553AFB4F856E1E65E12033CFEA06715A31F30B6
38,cancel,7023,12,4343,12,CF947DAA62CE0FB79B600CEA8A3C71478CC9CE14E65B7E943AEEF098750B6120,AFA0318DE30CE67618221EB61EBFCBF9038F505EB884B0AD6AB1D63B964F1F7F
39,cancel,5635,12,6921,12,5B0BBD2B77ECA1D93BAC482ABF5C620AC83D17B162E7EBCB0E4C05F79D036A9C,AA975A6382577863FA8C224243E17AD4D61548EE6AEE68AE91CAFFFC271DD557
40,cancel,5636,12,5653,12,F6B7871B1F3694C1A00DC193BB152834F4C752C1F0ED30C867ED1492EC689A80,9262009CB429506CAC5BB028882F9455BC8B0579E83065B02053EA0BF900B0DD
41,cancel,6896,12,7002,12,32DDB3DDFB1E615179A90573D1EDB05FE20E7789B9B8040BEA520AAF53F05E01,D6CEBF469DF151D99615C6B077D509B24BF5CBF03FADC150BD6CB96657B25972
42,cancel,5906,12,5663,12,111E4FEA417D61BC0EF8542B0095CE284B080EC2387AB3E69EC0BF484D1B4ABA,9BD75B4A63A42AC89914D2AA5386FB2E8896A7A7808D6E5D0891EBF00092082A
43,cancel,6025,12,5652,12,55069B029F110B04E1BC97EEC4295410982E3AA41FB42D4FD39E37713268ED85,6775DAAA90D2CD70715CFB983E19CD1704652F7DEDD07DCF3EF1DF1537A6DA93
44,cancel,5653,12,5616,12,5999A9B69C3BE8703D9C9140BB5B8233C16D411E549ABDF62968AD4D839434B7,3C4791A19A3C6D74774B3BA9A3B65D795C0203A81FF162BCA59136AD1243D0DD
45,cancel,7045,12,5646,12,2D5AFA90D29F5E40AF610BFEDB7EE064F502B6330CED50314288FCBA7A1D0A51,9FB557A66E14153BE97A7BD3EAB97F1FD2E9B0EC57BE19BB79B3A0E80DCF0C50
46,cancel,6927,12,6987,12,2F11F8D8E298A97F25624101751EF37562194D9236F0C53043A5C940F95FE0C4,6AAD8F659253627EC0752BA89CEA0AA2B9344980117EB8AEE270B7340BF987F6
47,cancel,6949,12,3315,12,367041221185A8F52F44D8FCE2F38BEBA50FD19B3C4E9BD5DA3200E67A463A61,DC0F6F7E6445B35F38E33700BDCBAD7CFC8053BD23BF4FB8CAB624D9B6D8FA62
48,cancel,7234,12,4379,12,83125F03082C323F009984E339CBB9570E9CA61B291F5CE45880A8C23A75C6F8,F4D8C15BFC5F90E3E75E06EAA1C4C069CCB55C81262059B51EC4F8677B90E6DB
49,cancel,7032,12,4388,12,29F0F7D854032562F21B9AA3CF387214F984E848BE034CF5A8C6A8424006B71E,229FD9FCE8698E287B5F7E3FEB24B1E5FFBC0075135689054B468E43D0D28083
50,cancel,5730,12,7021,12,A1CB92A856E0A6C0BAA741E20C5D7F517F97F83EDBF4219F929EDA4174008E71,B204E0F48D69AC3FD7D87C186ED0EF09EE19A336100C8D5FD840C0314C846B2F
51,cancel,7030,12,6914,12,A65013EBE33A725D4E3825E7B95B8093928CB2B83AD67F2D10F5EF4C578C8B6E,C4E0831B8A18480F6E2C1924B7B473D0C97167339CB1B16CEF1FB94E7482E108
